ticker,date,close,daily_return_pct,ma_7day,ma_30day,volatility_30day
SPY,2024-03-07,502.39,0.9931,502.39,502.39,
SPY,2024-03-08,499.37,-0.6011,500.88,500.88,1.1273
SPY,2024-03-11,498.95,-0.0841,500.24,500.24,0.8133
SPY,2024-03-12,504.31,1.0743,501.26,501.26,0.8228
SPY,2024-03-13,503.52,-0.1566,501.71,501.71,0.7471
SPY,2024-03-14,502.53,-0.1966,501.85,501.85,0.6922
SPY,2024-03-15,499.08,-0.6865,501.45,501.45,0.7102
SPY,2024-03-18,502.04,0.5931,501.4,501.52,0.6851
SPY,2024-03-19,504.83,0.5557,502.18,501.89,0.6573
SPY,2024-03-20,509.5,0.9251,503.69,502.65,0.6646
SPY,2024-03-21,511.19,0.3317,504.67,503.43,0.6311
SPY,2024-03-22,510.22,-0.1898,505.63,503.99,0.615
SPY,2024-03-25,508.81,-0.2764,506.52,504.36,0.6043
SPY,2024-03-26,507.87,-0.1847,507.78,504.61,0.5885
SPY,2024-03-27,512.13,0.8388,509.22,505.12,0.5943
SPY,2024-03-28,512.04,-0.0176,510.25,505.55,0.5766
SPY,2024-04-01,511.15,-0.1738,510.49,505.88,0.565
SPY,2024-04-02,507.9,-0.6358,510.02,505.99,0.5794
SPY,2024-04-03,508.45,0.1083,509.76,506.12,0.5631
SPY,2024-04-04,502.25,-1.2194,508.83,505.93,0.6242
SPY,2024-04-05,507.49,1.0433,508.77,506.0,0.6459
SPY,2024-04-08,507.78,0.0571,508.15,506.08,0.6304
SPY,2024-04-09,508.37,0.1162,507.63,506.18,0.6159
SPY,2024-04-10,503.28,-1.0012,506.5,506.06,0.6427
SPY,2024-04-11,507.07,0.7531,506.38,506.1,0.6446
SPY,2024-04-12,500.07,-1.3805,505.19,505.87,0.6934
SPY,2024-04-15,493.81,-1.2518,503.98,505.42,0.7228
SPY,2024-04-16,492.91,-0.1823,501.9,504.98,0.7099
SPY,2024-04-17,489.99,-0.5924,499.36,504.46,0.7049
SPY,2024-04-18,488.98,-0.2061,496.59,503.94,0.6932
SPY,2024-04-19,484.72,-0.8712,493.94,503.35,0.6795
SPY,2024-04-22,489.18,0.9201,491.38,503.01,0.6986
SPY,2024-04-23,494.98,1.1857,490.65,502.88,0.735
SPY,2024-04-24,494.75,-0.0465,490.79,502.56,0.7051
SPY,2024-04-25,492.87,-0.38,490.78,502.21,0.7074
SPY,2024-04-26,497.54,0.9475,491.86,502.04,0.7307
SPY,2024-04-29,499.3,0.3537,493.33,502.05,0.7231
SPY,2024-04-30,491.39,-1.5842,494.29,501.69,0.7697
SPY,2024-05-01,489.8,-0.3236,494.38,501.19,0.7618
SPY,2024-05-02,494.38,0.9351,494.29,500.69,0.7623
SPY,2024-05-03,500.51,1.2399,495.11,500.33,0.7972
SPY,2024-05-06,505.67,1.0309,496.94,500.18,0.8215
SPY,2024-05-07,506.23,0.1107,498.18,500.1,0.8205
SPY,2024-05-08,506.28,0.0099,499.18,500.04,0.8198
SPY,2024-05-09,509.2,0.5768,501.72,499.94,0.8119
SPY,2024-05-10,509.85,0.1277,504.59,499.87,0.8123
SPY,2024-05-13,509.92,0.0137,506.81,499.83,0.8117
SPY,2024-05-14,512.26,0.4589,508.49,499.98,0.807
SPY,2024-05-15,518.61,1.2396,510.34,500.31,0.8366
